accessionnr	aantal.aminozuren	uit	categorie	land	jaar	kenmerken
AAB69793	329	Human	H3N2	USA	1993	Influenza A virus (A/Wyoming/1/93(H3N2))
AAB69794	329	Human	H3N2	USA	1993	Influenza A virus (A/Washington/41/93(H3N2))
AAB69795	329	Human	H3N2	Russia	1994	Influenza A virus (A/Ulan_Ude/44/94(H3N2))
AAB69797	329	Human	H3N2	USA	1994	Influenza A virus (A/California/4/94(H3N2))
AAB69798	329	Human	H3N2	China	1994	Influenza A virus (A/Harbin/3/94(H3N2))
AAB69799	329	Human	H3N2	USA	1993	Influenza A virus (A/Pennsylvania/9/93(H3N2))
AAB69800	329	Human	H3N2	China	1994	Influenza A virus (A/Wuzhou/1/94(H3N2))
AAB69801	329	Human	H3N2	Chile	1994	Influenza A virus (A/Santiago/7198/94(H3N2))
AAB69802	329	Human	H3N2	USA	1994	Influenza A virus (A/New_York/15/94(H3N2))
AAB69803	329	Human	H3N2	USA	1983	Influenza A virus (A/Baylor6A/Texas/12835/83(H3N2))
AAB69804	329	Human	H3N2	China	1987	Influenza A virus (A/Guizhou/3/1987(H3N2))
AAB69805	328	Human	H3N2	USA	1984	Influenza A virus (A/Alaska/84(H3N2))
AAB69806	329	Human	H3N2	Russia	1985	Influenza A virus (A/USSR/26/1985(H3N2))
AAB69807	329	Human	H3N2	Sweden	1985	Influenza A virus (A/Stockholm/4/1985(H3N2))
AAB69808	329	Human	H3N2	USA	1983	Influenza A virus (A/Baylor2B/Texas/25887/83/(H3N2))
AAB69809	329	Human	H3N2	France	1984	Influenza A virus (A/Caen/1/84(H3N2))
AAB69810	329	Human	H3N2	Japan	1983	Influenza A virus (A/Oita/3/83(H3N2))
AAB69811	329	Human	H3N2	USA	1984	Influenza A virus (A/Texas/18088/84(H3N2))
AAB69812	329	Human	H3N2	USA	1984	Influenza A virus (A/Texas/18733/84(H3N2))
AAB69813	329	Human	H3N2	USA	1984	Influenza A virus (A/Texas/17988/84(H3N2))
AAB69814	329	Human	H3N2	USA	1985	Influenza A virus (A/Michigan/1/1985(H3N2))
AAB69815	329	Human	H3N2	USA	1985	Influenza A virus (A/New Jersey/4/1985(H3N2))
AAB69816	329	Human	H3N2	USA	1985	Influenza A virus (A/Texas/24752/1985(H3N2))
AAB69817	328	Human	H3N2	USA	1985	Influenza A virus (A/Connecticut/4/1985(H3N2))
AAB69818	329	Human	H3N2	Japan	1985	Influenza A virus (A/Fukuoka/C29/1985(H3N2))
AAB69819	329	Human	H3N2	Japan	1985	Influenza A virus (A/Yamaneshi/497(H3N2))
AAB69820	329	Human	H3N2	Japan	1987	Influenza A virus (A/Tokyo/1275/1987(H3N2))
AAB69821	329	Human	H3N2	Japan	1987	Influenza A virus (A/Tokyo/1276/1987(H3N2))
AAB69822	329	Human	H3N2	Japan	1988	Influenza A virus (A/Chiba/38/88(H3N2))
AAB69823	329	Human	H3N2	Japan	1988	Influenza A virus (A/Kobe/768/88(H3N2))
AAB69825	329	Human	H3N2	China	1987	Influenza A virus (A/Guangdong/9/1987(H3N2))
AAB69826	329	Human	H3N2	China	1987	Influenza A virus (A/Sichuan/2/1987(H3N2))
AAB69827	329	Human	H3N2	USA	1987	Influenza A virus (A/Los Angeles/1987(H3N2))
AAB69828	329	Human	H3N2	China	1987	Influenza A virus (A/Shanghai/11/1987(H3N2))
AAB69829	329	Human	H3N2	China	1987	Influenza A virus (A/Qingdao/10/1987(H3N2))
AAB69831	329	Human	H3N2	China	1987	Influenza A virus (A/Guizhou/1/1987(H3N2))
AAB69832	329	Human	H3N2	USA	1987	Influenza A virus (A/Colorado/2/1987(H3N2))
AAB69833	329	Human	H3N2	USA	1985	Influenza A virus (A/Baylor3B/Texas/24753/85(H3N2))
AAB69834	329	Human	H3N2	USA	1985	Influenza A virus (A/Baylor6B/Texas/25784/85(H3N2))
AAB69835	329	Human	H3N2	USA	1985	Influenza A virus (A/Mississippi/1/(H3N2))
AAB69836	329	Human	H3N2	USA	1983	Influenza A virus (A/Baylor5A/Texas/12764/83(H3N2))
AAB69840	329	Human	H3N2	Sweden	1985	Influenza A virus (A/Stockholm/8/1985(H3N2))
AAB69842	329	Human	H3N2	Japan	1985	Influenza A virus (A/Gumma/346/1985(H3N2))
AAB69844	329	Human	H3N2	Japan	1985	Influenza A virus (A/Yamagata/96/85(H3N2))
AAB69845	329	Human	H3N2	Russia	1986	Influenza A virus (A/Leningrad/360/1986(H3N2))
AAB69846	329	Human	H3N2	Japan	1985	Influenza A virus (A/Yokohama/C5/85(H3N2))
AAB69848	329	Human	H3N2	Tonga	1985	Influenza A virus (A/Tonga/23/85(H3N2))
AAB69849	329	Human	H3N2	USA	1988	Influenza A virus (A/Baylor4B/Texas/39989/88(H3N2))
AAB69850	329	Human	H3N2	China	1985	Influenza A virus (A/Cheng-mei/4/85(H3N2))
AAB69851	329	Human	H3N2	Uruguay	1988	Influenza A virus (A/Uruguay/3/88(H3N2))
AAB81456	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/112/1996-1(H1N1))
AAB81457	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/112/1996-2(H1N1))
AAB81458	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/117/1996-1(H1N1))
AAB81459	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/117/1996-2(H1N1))
AAB81460	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/117/1996-3(H1N1))
AAB81461	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/118/1996-1(H1N1))
AAB81462	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/118/1996-2(H1N1))
AAB81463	392	Human	H1N1	Taiwan	1996	Influenza A virus (A/Taiwan/118/1996-3(H1N1))
AAB82064	332	Avian	H5N2	USA	1991	Influenza A virus (A/ruddy turnstone/Delaware/244/91 (H5N2))
AAC08288	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/849K4/1994)
AAC08289	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/872K4/1994(H3N2))
AAC08290	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/849AM2/1994(H3N2))
AAC08291	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/849AM4/1994(H3N2))
AAC08293	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/872AM4/1994(H3N2))
AAC08294	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/849AM1AL3/1994(H3N2))
AAC08295	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/872AM1AL3/1994(H3N2))
AAC08296	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/849AM2AL3/1994(H3N2))
AAC08297	329	Human	H3N2	Japan	1994	Influenza A virus (A/Tottori/872AM2AL3/1994(H3N2))
AAC14275	344	Human	H1N1	Taiwan	1992	Influenza A virus (A/Taiwan/2243+C44/1992(H1N1))
AAC31556	328	Avian	H3N8	Japan	1980	Influenza A virus (A/duck/Hokkaido/8/1980(H3N8))
AAC36729	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36730	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36731	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36732	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36733	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36734	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36735	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36736	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC36737	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC40999	560	Avian	H7N7	Ireland	1995	Influenza A virus (A/turkey/Ireland/PV74/1995(H7N7))
AAC53845	351	Swine	H1	Canada	1991	Influenza A virus (A/swine/QC91(H1))
AAC53846	351	Swine	H1	Canada	1981	Influenza A virus (A/swine/QC81(H1))
AAC54383	560	Avian	H7N7	Germany	1986	Influenza A virus (A/duck/Heinersdorf/S495/6/86(H7N7))
AAC54384	356	Avian	H7N3	USA	1980	Influenza A virus (A/turkey/Minnesota/1237/80(H7N3))
AAC54385	362	Avian	H7N7	Germany	1981	Influenza A virus (A/swan/Potsdam/63/6/81(H7N7))
AAC54386	362	Avian	H7N1	USA	1993	Influenza A virus (A/rhea/North Carolina/39482/1993(H7N1))
AAC54387	560	Avian	H7N7	Germany	1987	Influenza A virus (A/chicken/Jena/1816/87(H7N7))
AAC54388	373	Avian	H7N7	Germany	1979	Influenza A virus (A/tern/Potsdam/342/6/79(H7N7))
AAC54390	78	Avian	H5N2	USA	1972	Influenza A virus (A/turkey/Colorado/72(H5N2))
AAC54391	77	Avian	H5N2	USA	1984	Influenza A virus (A/duck/Pennsylvania/1984(H5N2))
AAC54392	78	Avian	H5N2	USA	1980	Influenza A virus (A/duck/Michigan/1980(H5N2))
AAC57169	566	Swine	H1N1	Germany	1993	Influenza A virus (strain A/swine/Schleswig-Holstein/1/93)
AAC58990	552	Avian	H5N2	Mexico	1995	Influenza A virus (A/chicken/Queretaro/7653-20/1995(H5N2))
AAC58991	548	Avian	H5N2	USA	1980	Influenza A virus (A/duck/Michigan/1980(H5N2))
AAC58992	332	Avian	H5N2	USA	1988	Influenza A virus (A/mallard/OH/345/1988(H5N2))
AAC58993	332	Avian	H5N6	USA	1975	Influenza A virus (A/mallard/Wisconsin/34/1975(H5N6))
AAC58994	548	Avian	H5N3	USA	1975	Influenza A virus (A/mallard/WI/169/1975(H5N3))
AAC58995	332	Avian	H5N1	USA	1975	Influenza A virus (A/mallard/Wisconsin/428/1975(H5N1))
AAC58996	548	Avian	H5N2	USA	1981	Influenza A virus (A/turkey/Minnesota/3689-1551/1981(H5N2))
AAC58997	548	Avian	H5N2	USA	1995	Influenza A virus (A/turkey/Minnesota/10734/1995(H5N2))
AAC58998	548	Avian	H5N9	USA	1968	Influenza A virus (A/turkey/Wisconsin/1968(H5N9))
AAC58999	564	Avian	H5N9	USA	1987	Influenza A virus (A/mallard/Ohio/556/1987(H5N9))
AAC59602	566	Human	H3N2	Austria	1996	Influenza A virus (A/Vienna/47/96M(H3N2))
AAC59603	346	Human	H3N2	Austria	1996	Influenza A virus (A/Vienna/81/96V(H3N2))
AAC59604	566	Human	H3N2	Austria	1996	Influenza A virus (A/Vienna/47/96V(H3N2))
AAC63474	328	Human	H3N2	Japan	1996	Influenza A virus H3N2
AAC63475	328	Human	H3N2	Japan	1996	Influenza A virus H3N2
AAC63476	328	Human	H3N2	China	1995	Influenza A virus H3N2
AAC63477	328	Human	H3N2	Japan	1996	Influenza A virus H3N2
AAC63478	328	Human	H3N2	Japan	1997	Influenza A virus H3N2
AAC78089	329	Swine	H3N2	Belgium	1994	Influenza A virus (A/Swine/Belgium/231/94(H3N2))
AAC80152	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAC80153	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAC80154	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAC83790	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83791	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83792	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83793	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83794	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83795	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83796	327	Human	H3N2	Canada	1997	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83797	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83798	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83799	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAC83800	327	Human	H3N2	Canada	1998	Influenza A virus (A/Sydney/05/97-like(H3N2))
AAD00123	344	Human	H3N2	Japan	1994	Influenza A virus H3N2
AAD00124	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAD00125	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAD00126	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAD00127	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAD00128	344	Human	H3N2	Japan	1995	Influenza A virus H3N2
AAD13572	564	Avian	H5N1	USA	1981	Influenza A virus (A/duck/Minnesota/1525/1981(H5N1))
AAD13573	564	Avian	H5N6	Germany	1984	Influenza A virus (A/duck/Potsdam/2216-4/1984(H5N6))
AAD13574	564	Avian	H5N2	Germany	1986	Influenza A virus (A/duck/Potsdam/1402-6/1986(H5N2))
AAD13575	564	Avian	H5N1	USA	1983	Influenza A virus (A/gull/Pennsylvania/4175/83(H5N1))
AAM46887	329	Human	H3N2	USA	1999	Influenza A virus (A/Michigan/22568/99(H3N2))
AAM46888	329	Human	H3N2	USA	1999	Influenza A virus (A/Virginia/21712/99(H3N2))
AAM46889	329	Human	H3N2	USA	1999	Influenza A virus (A/Utah/20997/99(H3N2))
AAM46890	329	Human	H3N2	USA	1999	Influenza A virus (A/Indiana/28170/99(H3N2))
AAM46891	329	Human	H3N2	USA	1999	Influenza A virus (A/Virginia/21847/99(H3N2))
AAM49555	568	Avian	H5N1	China	2001	Influenza A virus (A/Duck/Anyang/AVL-1/2001(H5N1))
AAM69944	565	Avian	H6N8	Canada	1996	Influenza A virus (A/Mallard/Alberta/206/1996(H6N8))
AAM69945	565	Avian	H6N4	USA	1998	Influenza A virus (A/Shorebird/Delaware/194/98(H6N4))
AAM69946	565	Avian	H6N2	USA	1997	Influenza A virus (A/Shorebird/Delaware/127/97(H6N2))
AAM69947	565	Avian	H6N8	USA	1994	Influenza A virus (A/Shorebird/Delaware/29/94(H6N8))
AAM69948	565	Avian	H6N2	USA	1998	Influenza A virus (A/Ruddy turnstone/Delaware/106/98(H6N2))
AAM69949	565	Avian	H6N2	USA	1998	Influenza A virus (A/Ruddy turnstone/Delaware/106/98(H6N2))
AAM69950	564	Avian	H6N8	Canada	1994	Influenza A virus (A/Mallard/Alberta/4/94(H6N8))
AAM69951	565	Avian	H6N8	Canada	1994	Influenza A virus (A/Redhead/Alberta/291/94(H6N8))
AAM69962	565	Avian	H6N2	USA	2001	Influenza A virus (A/chicken/California/905/01(H6N2))
AAM69973	565	Avian	H6N2	USA	2001	Influenza A virus (A/chicken/California/6643/2001(H6N2))
AAM69983	566	Avian	H6N2	USA	2000	Influenza A virus (A/chicken/California/465/2000(H6N2))
AAM69993	566	Avian	H6N2	USA	2000	Influenza A virus (A/chicken/California/431/2000(H6N2))
AAM70005	565	Avian	H6N2	USA	2001	Influenza A virus (A/chicken/California/0139/2001(H6N2))
AAM70007	566	Avian	H6N2	USA	2000	Influenza A virus (A/chicken/California/1002a/00(H6N2))
AAM75158	565	Human	H1N1	Puerto Rico	1934	Influenza A virus (A/Puerto Rico/8/34/Mount Sinai(H1N1))
AAM76686	343	Human	H1N1	United Kingdom	1943	Influenza A virus (A/DSP/43(H1N1))
AAM76687	344	Human	H1N1	USA	1943	Influenza A virus (A/Weiss/1943(H1N1))
AAM76688	344	Human	H1N1	USA	1943	Influenza A virus (A/Marton/43(H1N1))
AAM76689	344	Human	H1N1	USA	1947	Influenza A virus (A/Rhodes/47(H1N1))
AAM76690	344	Human	H1N1	USA	1947	Influenza A virus (A/Fort Monmouth/1/1947(H1N1))
AAM76691	344	Human	H1N1	USA	1943	Influenza A virus (A/Huston/43(H1N1))
AAM82560	328	Human	H3N2	China	1996	Influenza A virus (A/Guangdong/04/96 (H3N2))
AAM82561	328	Human	H3N2	China	1995	Influenza A virus (A/Guangdong/01/95(H3N2))
AAM82562	328	Human	H3N2	China	1995	Influenza A virus (A/Guangdong/08/95 (H3N2))
AAM88280	328	Human	H3N2	China	1996	Influenza A virus (A/Guangdong/08/96(H3N2))
AAM88283	328	Human	H3N2	China	1996	Influenza A virus (A/Guangdong/07/96(H3N2))
AAN01150	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Buenos Aires/T28/98(H3N2))
AAN01151	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Buenos Aires/V191/98(H3N2))
AAN01152	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Buenos Aires/V235/98(H3N2))
AAN01153	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Cordoba/V185/98(H3N2))
AAN01154	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Cordoba/V391/98(H3N2))
AAN01155	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Cordoba/V584/98(H3N2))
AAN01156	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Cordoba/V651/98(H3N2))
AAN01157	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Neuquen/V541/98(H3N2))
AAN01158	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Neuquen/V690/98(H3N2))
AAN01159	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Salta/V793/98(H3N2))
AAN01160	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Tucuman/V425/98(H3N2))
AAN01161	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Tucuman/V694/98(H3N2))
AAN01162	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R127/98(H3N2))
AAN01163	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R13/98(H3N2))
AAN01164	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R254/98(H3N2))
AAN01165	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R270/98(H3N2))
AAN01166	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R272/98(H3N2))
AAN01167	328	Human	H3N2	Argentina	1998	Influenza A virus (A/Ushuaia/R274/98(H3N2))
AAN05676	492	Avian	H9N2	China	1995	Influenza A virus (A/Chicken/Beijing/1/95(H9N2))
AAN05677	492	Avian	H9N2	China	1997	Influenza A virus (A/Chicken/Beijing/2/97(H9N2))
AAN05678	492	Avian	H9N2	China	1999	Influenza A virus (A/Chicken/Beijing/3/99(H9N2))
AAN05679	492	Avian	H9N2	China	1997	Influenza A virus (A/Chicken/Guangdong/97(H9N2))
AAN05680	492	Avian	H9N2	China	1996	Influenza A virus (A/Chicken/Hebei/1/96(H9N2))
AAN05681	492	Avian	H9N2	China	1998	Influenza A virus (A/Chicken/Hebei/2/98(H9N2))
AAN05682	492	Avian	H9N2	China	1998	Influenza A virus (A/Chicken/Hebei/3/98(H9N2))
AAN05683	492	Avian	H9N2	China	1998	Influenza A virus (A/Chicken/Henan/98(H9N2))
AAN05684	492	Avian	H9N2	China	1999	Influenza A virus (A/chicken/Liaoning/99(H9N2))
AAN05685	492	Avian	H9N2	China	1998	Influenza A virus (A/Chicken/Shandong/98(H9N2))
AAN17779	328	Human	H3N2	China	1994	Influenza A virus (A/Guangdong/28/94(H3N2))
AAN46827	566	Swine	H1N2	South Korea	2002	Influenza A virus (A/Swine/Korea/CY02/2002(H1N2))
AAN63953	329	Human	H3N2	China	1999	Influenza A virus (A/zhejiang/06/99(H3N2))
AAN63954	329	Human	H3N2	China	1998	Influenza A virus (A/zhejiang/10/98(H3N2))
AAN63955	329	Human	H3N2	China	2002	Influenza A virus (A/zhejiang/11/2002(H3N2))
AAN63956	329	Human	H3N2	China	2002	Influenza A virus (A/ningbo/25/2002(H3N2))
AAN63957	329	Human	H3N2	China	2002	Influenza A virus (A/ningbo/17/2002(H3N2))
AAN63958	329	Human	H3N2	China	2002	Influenza A virus (A/Zhejiang/8/2002(H3N2))
AAN64892	345	Human	H1N2	USA	2001	Influenza A virus (A/Wisconsin/12/2001(H1N2))
AAN64893	343	Human	H1N2	India	2001	Influenza A virus (A/India/66193/2001(H1N2))
AAN64894	339	Human	H1N2	India	2001	Influenza A virus (A/India/77251/2001(H1N2))
AAN64895	343	Human	H1N2	USA	2001	Influenza A virus (A/Texas/7/2001(H1N2))
AAN64896	343	Human	H1N2	India	2001	Influenza A virus (A/India/77302/2001(H1N2))
AAN64897	343	Human	H1N2	India	2001	Influenza A virus (A/India/77267/2001(H1N2))
AAN64898	343	Human	H1N2	Oman	2001	Influenza A virus (A/Oman/16353/2001(H1N2))
AAN64899	343	Human	H1N2	Singapore	2001	Influenza A virus (A/Singapore/73/2001(H1N2))
AAN64900	343	Human	H1N2	Singapore	2001	Influenza A virus (A/Singapore/63/2001(H1N2))
AAN64901	343	Human	H1N2	Canada	2001	Influenza A virus (A/Canada/4/2001(H1N2))
AAN64902	343	Human	H1N2	Singapore	2001	Influenza A virus (A/Singapore/66/2001(H1N2))
AAN64903	341	Human	H1N2	USA	2001	Influenza A virus (A/Nevada/5/2001(H1N2))
AAN64904	343	Human	H1N2	India	2001	Influenza A virus (A/India/77308/2001(H1N2))
AAN64905	343	Human	H1N2	Egypt	2001	Influenza A virus (A/Egypt/21181/2001(H1N2))
AAN83926	49	Avian	H2N9	China	2000	Influenza A virus (A/Duck/Nanchang/2-0492/2000(H2N9))
AAN83927	49	Avian	H2N9	China	2000	Influenza A virus (A/Duck/Nanchang/2-0485/2000(H2N9))
AAN83928	49	Avian	H2N9	China	2000	Influenza A virus (A/duck/Nanchang/2-0486/2000(H2N9))
AAN83929	49	Avian	H2N9	China	2000	Influenza A virus (A/duck/Nanchang/4-184/2000(H2N9))
AAN83930	49	Avian	H2N9	China	2000	Influenza A virus (A/Duck/Nanchang/4-190/2000(H2N9))
AAN83931	49	Avian	H2N9	China	2000	Influenza A virus (A/Duck/Nanchang/3-090/2000(H2N9))
AAN83932	154	Avian	H3N3	China	2000	Influenza A virus (A/bantam/Nanchang/9-366/2000(H3N3))
AAN83933	154	Avian	H3N6	China	2001	Influenza A virus (A/Chicken/Nanchang/1-020/2001(H3N6))
AAN83934	154	Avian	H3N6	China	2001	Influenza A virus (A/Duck/Nanchang/1-100/2001(H3N6))
AAN83935	154	Avian	H3N6	China	2001	Influenza A virus (A/Chicken/Nanchang/1-101/2001(H3N6))
AAN83936	154	Avian	H3N6	China	2000	Influenza A virus (A/Chicken/Nanchang/12-220/2000(H3N6))
AAN83937	154	Avian	H3N6	China	2000	Influenza A virus (A/Chicken/Nanchang/12-301/2000(H3N6))
AAN83938	154	Avian	H3N6	China	2001	Influenza A virus (A/Chicken/Nanchang/2-120/2001(H3N6))
AAN83939	154	Avian	H3N6	China	2001	Influenza A virus (A/Chicken/Nanchang/2-220/2001(H3N6))
AAN83940	154	Avian	H3N2	China	2001	Influenza A virus (A/chicken/Nanchang/3-120/2001(H3N2))
AAN83941	154	Avian	H3N6	China	2001	Influenza A virus (A/chicken/Nanchang/3-201/01(H3N6))
AAN83942	154	Avian	H3N6	China	2000	Influenza A virus (A/chicken/Nanchang/7-010/2000(H3N6))
AAN83943	154	Avian	H3N6	China	2000	Influenza A virus (A/Chicken/Nanchang/9-220/2000(H3N6))
AAN83944	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/10-096/2000(H3N6))
AAN83945	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/10-383/2000(H3N6))
AAN83946	154	Avian	H3N6	China	2001	Influenza A virus (A/Duck/Nanchang/1-161/2001(H3N6))
AAN83947	154	Avian	H3N6	China	2001	Influenza A virus (A/Duck/Nanchang/1-181/2001(H3N6))
AAN83948	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/12-280/2000(H3N6))
AAN83949	154	Avian	H3N6	China	2001	Influenza A virus (A/Duck/Nanchang/2-182/2001(H3N6))
AAN83950	154	Avian	H3N6	China	2000	Influenza A virus (A/duck/Nanchang/8-174/2000(H3N6))
AAN83951	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/8-197/2000(H3N6))
AAN83952	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/8-198/2000(H3N6))
AAN83953	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/9-091/2000(H3N6))
AAN83954	154	Avian	H3N6	China	2000	Influenza A virus (A/Duck/Nanchang/9-385/2000(H3N6))
AAN83955	154	Avian	H3N6	China	2000	Influenza A virus (A/Pigeon/Nanchang/11-045/2000(H3N6))
AAN83956	154	Avian	H3N6	China	2000	Influenza A virus (A/pigeon/Nanchang/8-142/2000(H3N6))
AAN83957	154	Avian	H3N3	China	2000	Influenza A virus (A/pigeon/Nanchang/9-058/2000(H3N3))
AAN83958	154	Avian	H3N6	China	2000	Influenza A virus (A/Quail/Nanchang/10-028/2000(H3N6))
AAN83959	154	Avian	H3N6	China	2001	Influenza A virus (A/Quail/Nanchang/3-140/2001(H3N6))
AAN83960	154	Avian	H3N6	China	2000	Influenza A virus (A/quail/Nanchang/7-026/2000(H3N6))
AAN83961	154	Avian	H3N6	China	2001	Influenza A virus (A/Quail/Nanchang/2-040/2001(H3N6))
AAN83962	49	Avian	H4N6	China	2000	Influenza A virus (A/chicken/Nanchang/2-0527/2000(H4N6))
AAN83963	49	Avian	H4N6	China	2000	Influenza A virus (A/Chicken/Nanchang/3-0128/2000(H4N6))
AAN83964	49	Avian	H4N6	China	2000	Influenza A virus (A/Chicken/Nanchang/4-008/2000(H4N6))
AAN83965	49	Avian	H4N6	China	2000	Influenza A virus (A/Quail/Nanchang/2-0579/2000(H4N6))
AAN83966	49	Avian	H4N6	China	2000	Influenza A virus (A/Quail/Nanchang/4-026/2000(H4N6))
AAN83967	49	Avian	H4N6	China	2000	Influenza A virus (A/quail/Nanchang/4-034/2000(H4N6))
AAN83968	49	Avian	H4N6	China	2000	Influenza A virus (A/Duck/Nanchang/4-191/2000(H4N6))
AAN83969	49	Avian	H4N6	China	2000	Influenza A virus (A/Duck/Nanchang/2-0147/2000(H4N6))
AAN83970	49	Avian	H4N6	China	2000	Influenza A virus (A/duck/Nanchang/4-165/2000(H4N6))
AAN83971	49	Avian	H4N6	China	2000	Influenza A virus (A/Duck/Nanchang/4-173/2000(H4N6))
AAN83972	199	Avian	H9N2	China	2001	Influenza A virus (A/Chicken/Nanchang/4-361/2001(H9N2))
AAN83973	199	Avian	H9N2	China	2000	Influenza A virus (A/pigeon/Nanchang/2-0461/2000(H9N2))
AAN83974	199	Avian	H9N2	China	2000	Influenza A virus (A/Duck/Nanchang/11-290/2000(H9N2))
AAN83975	199	Avian	H9N2	China	2000	Influenza A virus (A/Chicken/Nanchang/4-010/2000(H9N2))
AAN83976	199	Avian	H9N2	China	2000	Influenza A virus (A/Duck/Nanchang/1-0070/2000(H9N2))
AAN83977	199	Avian	H9N2	China	2000	Influenza A virus (A/Quail/Nanchang/4-040/2000(H9N2))
AAN83978	199	Avian	H9N2	China	2000	Influenza A virus (A/Chicken/Nanchang/1-0016/2000(H9N2))
AAN83979	199	Avian	H9N2	China	2000	Influenza A virus (A/Duck/Nanchang/10-389/2000(H9N2))
AAN83980	199	Avian	H9N2	China	2000	Influenza A virus (A/wild duck/Nanchang/2-0480/2000(H9N2))
AAN83981	199	Avian	H9N2	China	2000	Influenza A virus (A/Duck/Nanchang/11-197/2000(H9N2))
AAN83982	199	Avian	H9N2	China	2000	Influenza A virus (A/Duck/Nanchang/7-092/2000(H9N2))
